category,id,sku,name,url_key,price,regular_price,image
Water Toys & Activites,5395310,6941607331354,Bestway Silicone Swimming Cap Glider For +14 Years - Assorted Colors,bestway-silicone-swimming-cap-glider-for-14-years-assorted-colors,119,119,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/9/6941607331354.jpg
Water Toys & Activites,5395283,6941607330890,Bestway Swimming Goggles Accelera For +14 Years - Assorted Colors,bestway-swimming-goggles-accelera-for-14-years-assorted-colors,159,159,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/9/6941607330890.jpg
Water Toys & Activites,5395274,6941607330845,Bestway Swimming Goggles Lightning Pro For +14 Years - Assorted Colors,bestway-swimming-goggles-lightning-pro-for-14-years-assorted-colors,259,259,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/9/6941607330845.jpg
Water Toys & Activites,5395271,6941607330821,Bestway Swimming Goggles Aqua Burst  For +7 Years - Assorted Colors,bestway-swimming-goggles-aqua-burst-for-7-years-assorted-colors,199,199,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/9/6941607330821.jpg
Water Toys & Activites,5395259,6941607320310,Bestway Swim Safe Wondersplash Square 3 Rings Baby Boat - Yellow,bestway-swim-safe-wondersplash-square-3-rings-baby-boat-yellow,399,399,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/9/6941607320310.jpg
Water Toys & Activites,202250,153669,"Bath Towel, White & Yellow - 200*100 cm",bath-towel-white-and-yellow-200100-cm,585,585,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/1/5/153669.jpg
Water Toys & Activites,1692476,078257582525,"Swimming Ring, Toy Story - 58252",swimming-ring-toy-story-58252,85,85,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/7/8/78257582525_copy_1.jpg
Water Toys & Activites,196019,1071825869,Rider Slipper for Boys - 825869,rider-slipper-for-boys-825869,449,449,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/1/0/1071825869.jpg
Water Toys & Activites,128037,6942138970944,Bestway Fashion Drink Holders - 31*34.5 cm,bestway-fashion-drink-holders-3134-5-cm,119,119,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/9/6942138970944.jpg
Water Toys & Activites,1647686,9702401369625,"Boomer Water Jet, Shower",boomer-water-jet-shower,700,700,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/9/7/9702401369625_copy.jpg
Water Toys & Activites,1631599,6942138981520,"Bestway Inflatable Neon Swim Ring, 76 cm - Assorted Colors, 36024",bestway-inflatable-neon-swim-ring-76-cm-assorted-colors-36024,96,96,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/9/6942138981520_1_copy.jpg
Water Toys & Activites,189225,6942138949803,"Bestway Underwater World Swim Ring, 51 cm - Assorted Colors",bestway-underwater-world-swim-ring-51-cm-assorted-colors,62,62,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/9/6942138949803_copy.jpg
Water Toys & Activites,1631587,6941607329276,"Bestway Disney Princess Swim Ring, 56 cm - 91043",bestway-disney-princess-swim-ring-56-cm-91043,115,115,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/9/6941607329276_copy.jpg
Water Toys & Activites,1631581,6941607329214,"Bestway Disney Princess Water Ball, 51 cm - 91042",bestway-disney-princess-water-ball-51-cm-91042,115,115,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/9/6941607329214_copy.jpg
Water Toys & Activites,1631578,6941607329191,"Bestway Mickey Beach Ball, 51 cm - 91098",bestway-mickey-beach-ball-51-cm-91098,115,115,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/9/6941607329191.png
