objectID,name,slug,barcode,sku,price,special_price,brand,brand_label,category,description,image,in_stock
Webkul\Product\Models\ProductFlat::1171990,محمود الفار بيض أبيض طبيعي  - 15 بيضة,محمود-الفار-بيض-مائدة-ابيض-طبيعى--15-بيضة-6224007775240,,6224007775240,76.25,,112,محمود الفار,منتجات الألبان والبيض,محمود الفار بيض أبيض طبيعي  - 15 بيضة,,
Webkul\Product\Models\ProductFlat::1171989,Mahmoud ELfar Natural White Eggs 15 Eggs,محمود-الفار-بيض-مائدة-ابيض-طبيعى--15-بيضة-6224007775240,,6224007775240,76.25,,112,Mahmoud El Far,منتجات الألبان والبيض,<p>Mahmoud ELfar Natural White Eggs - 15 Eggs</p>,,
Webkul\Product\Models\ProductFlat::1171181,Mahmoud ElFar Organic Baladi Eggs 6 Eggs,محمود-الفار-بيض-بلدى-اورجانيك-6--بيضة-6224007775325,,6224007775325,49.5,,112,Mahmoud El Far,منتجات الألبان والبيض,<p>Mahmoud ELfar Organic Baladi Eggs - 6 Eggs</p>,,
Webkul\Product\Models\ProductFlat::2066487,محمود الفار طبق برتقال عصير ,محمود الفار طبق برتقال عصير -2007431000000,,2007431000000,44.25,,112,محمود الفار,فواكه، خضروات و أعشاب,محمود الفار طبق برتقال عصير ,,
Webkul\Product\Models\ProductFlat::2066503,محمود الفار طبق برتقال عصير ,محمود الفار طبق برتقال عصير -2007431000000,,2007431000000,44.25,,112,محمود الفار,فواكه، خضروات و أعشاب,محمود الفار طبق برتقال عصير ,,
Webkul\Product\Models\ProductFlat::1171198,محمود الفار بيض أبيض طبيعي - 6 بيضات,محمود-الفار-بيض-مائدة-ابيض-طبيعى--6--بيضة-6224007775226,,6224007775226,49.5,44.5,112,محمود الفار,منتجات الألبان والبيض,محمود الفار بيض أبيض طبيعي - 6 بيضات,,
Webkul\Product\Models\ProductFlat::1171197,Mahmoud ELfar Natural White Eggs - 6 Eggs,محمود-الفار-بيض-مائدة-ابيض-طبيعى--6--بيضة-6224007775226,,6224007775226,49.5,44.5,112,Mahmoud El Far,منتجات الألبان والبيض,Mahmoud ELfar Natural White Eggs - 6 Eggs,,
Webkul\Product\Models\ProductFlat::1650167,Mahmoud ElFar Organic Baladi Eggs 18 Eggs,محمود-الفار-بيض-بلدى-اورجانيك--18-بيضة-6224007775356,,6224007775356,103.5,,112,Mahmoud El Far,منتجات الألبان والبيض,<p>Mahmoud ELfar Organic Baladi Eggs - 18 Eggs</p>,,
Webkul\Product\Models\ProductFlat::1171210,محمود الفار بيض أبيض طبيعي - 6 بيضات,محمود-الفار-بيض-مائدة-ابيض-طبيعى--6--بيضة-6224007775226,,6224007775226,49.5,44.5,112,محمود الفار,منتجات الألبان والبيض,محمود الفار بيض أبيض طبيعي - 6 بيضات,,
Webkul\Product\Models\ProductFlat::1171209,Mahmoud ELfar Natural White Eggs - 6 Eggs,محمود-الفار-بيض-مائدة-ابيض-طبيعى--6--بيضة-6224007775226,,6224007775226,49.5,44.5,112,Mahmoud El Far,منتجات الألبان والبيض,Mahmoud ELfar Natural White Eggs - 6 Eggs,,
Webkul\Product\Models\ProductFlat::1047340,Mahmoud ElFar Organic Baladi Eggs 18 Eggs,محمود-الفار-بيض-بلدى-اورجانيك--18-بيضة-6224007775356,,6224007775356,87.5,,112,Mahmoud El Far,منتجات الألبان والبيض,<p>Mahmoud ELfar Organic Baladi Eggs - 18 Eggs</p>,,
Webkul\Product\Models\ProductFlat::2026042,محمود الفار طبق باذنجان عروس الأسود ,محمود-الفار-طبق-باذنجان-عروس-الأسود-2007400000000,,2007400000000,61.75,,112,محمود الفار,فواكه، خضروات و أعشاب,محمود الفار طبق باذنجان عروس الأسود ,,
Webkul\Product\Models\ProductFlat::1650164,محمود الفار بيض أبيض طبيعي - 18 بيضة,محمود-الفار-بيض-مائدة-ابيض-طبيعى--18--بيضة-6224007775257,,6224007775257,103.5,,112,محمود الفار,منتجات الألبان والبيض,محمود الفار بيض أبيض طبيعي - 18 بيضة,,
Webkul\Product\Models\ProductFlat::1650163,Mahmoud ElFar Natural White Eggs 18 Eggs,محمود-الفار-بيض-مائدة-ابيض-طبيعى--18--بيضة-6224007775257,,6224007775257,103.5,,112,Mahmoud El Far,منتجات الألبان والبيض,<p>Mahmoud ELfar Natural White Table Eggs - 18 Eggs</p>,,
Webkul\Product\Models\ProductFlat::1047269,محمود الفار بيض أبيض طبيعي - 18 بيضة,محمود-الفار-بيض-مائدة-ابيض-طبيعى--18--بيضة-6224007775257,,6224007775257,103.5,,112,محمود الفار,منتجات الألبان والبيض,محمود الفار بيض أبيض طبيعي - 18 بيضة,,
Webkul\Product\Models\ProductFlat::1047268,Mahmoud ElFar Natural White Eggs 18 Eggs,محمود-الفار-بيض-مائدة-ابيض-طبيعى--18--بيضة-6224007775257,,6224007775257,103.5,,112,Mahmoud El Far,منتجات الألبان والبيض,<p>Mahmoud ELfar Natural White Table Eggs - 18 Eggs</p>,,
Webkul\Product\Models\ProductFlat::1653929,Mahmoud ElFar Organic Baladi Eggs 6 Eggs,محمود-الفار-بيض-بلدى-اورجانيك-6--بيضة-6224007775325,,6224007775325,49.5,,112,Mahmoud El Far,منتجات الألبان والبيض,<p>Mahmoud ELfar Organic Baladi Eggs - 6 Eggs</p>,,
Webkul\Product\Models\ProductFlat::2025844,محمود الفار طبق عنب بناتى ,محمود-الفار-طبق-عنب-بناتى-2007383000000,,2007383000000,94.95,,112,محمود الفار,فواكه، خضروات و أعشاب,محمود الفار طبق عنب بناتى ,,
Webkul\Product\Models\ProductFlat::1171234,محمود الفار بيض أبيض طبيعي - 10 بيضات,محمود-الفار-بيض-مائدة-ابيض-طبيعى-10--بيضة-6224007775233,,6224007775233,57.5,,112,محمود الفار,منتجات الألبان والبيض,محمود الفار بيض أبيض طبيعي - 10 بيضات,,
Webkul\Product\Models\ProductFlat::1171233,Mahmoud ElFar Natural White Eggs 10 Eggs,محمود-الفار-بيض-مائدة-ابيض-طبيعى-10--بيضة-6224007775233,,6224007775233,57.5,,112,Mahmoud El Far,منتجات الألبان والبيض,<p>Mahmoud ELfar Natural White Eggs - 10 Eggs</p>,,
Webkul\Product\Models\ProductFlat::2026060,محمود الفار طبق باذنجان عروس الأسود ,محمود-الفار-طبق-باذنجان-عروس-الأسود-2007400000000,,2007400000000,61.75,,112,محمود الفار,فواكه، خضروات و أعشاب,محمود الفار طبق باذنجان عروس الأسود ,,
Webkul\Product\Models\ProductFlat::2019651,محمود الفار طبق عنب كريمسون ,محمود-الفار-طبق-عنب-كريمسون-2007388000000,,2007388000000,111.75,,112,محمود الفار,فواكه، خضروات و أعشاب,محمود الفار طبق عنب كريمسون ,,
Webkul\Product\Models\ProductFlat::1171143,Mahmoud ElFar Organic Baladi Eggs 15 Eggs,محمود-الفار-بيض-بلدى-اورجانيك--15-بيضة-6224007775349,,6224007775349,76.25,,112,Mahmoud El Far,منتجات الألبان والبيض,<p>Mahmoud ELfar Organic Baladi Eggs - 15 Eggs</p>,,
Webkul\Product\Models\ProductFlat::1047285,محمود الفار بيض أبيض طبيعي - 18 بيضة,محمود-الفار-بيض-مائدة-ابيض-طبيعى--18--بيضة-6224007775257,,6224007775257,87.5,,112,محمود الفار,منتجات الألبان والبيض,محمود الفار بيض أبيض طبيعي - 18 بيضة,,
Webkul\Product\Models\ProductFlat::1047284,Mahmoud ElFar Natural White Eggs 18 Eggs,محمود-الفار-بيض-مائدة-ابيض-طبيعى--18--بيضة-6224007775257,,6224007775257,87.5,,112,Mahmoud El Far,منتجات الألبان والبيض,<p>Mahmoud ELfar Natural White Table Eggs - 18 Eggs</p>,,
Webkul\Product\Models\ProductFlat::2026046,محمود الفار طبق باذنجان عروس الأسود ,محمود-الفار-طبق-باذنجان-عروس-الأسود-2007400000000,,2007400000000,61.75,,112,محمود الفار,فواكه، خضروات و أعشاب,محمود الفار طبق باذنجان عروس الأسود ,,
Webkul\Product\Models\ProductFlat::2025848,محمود الفار طبق عنب بناتى ,محمود-الفار-طبق-عنب-بناتى-2007383000000,,2007383000000,94.95,,112,محمود الفار,فواكه، خضروات و أعشاب,محمود الفار طبق عنب بناتى ,,
Webkul\Product\Models\ProductFlat::2025842,محمود الفار طبق عنب بناتى ,محمود-الفار-طبق-عنب-بناتى-2007383000000,,2007383000000,94.95,,112,محمود الفار,فواكه، خضروات و أعشاب,محمود الفار طبق عنب بناتى ,,
Webkul\Product\Models\ProductFlat::2019037,محمود الفار طبق عنب ابيض محلى ,محمود-الفار-طبق-عنب-ابيض-محلى-2007374000000,,2007374000000,294.25,,112,محمود الفار,فواكه، خضروات و أعشاب,محمود الفار طبق عنب ابيض محلى ,,
